ID,Title,Body,Course_Number,Credits,Prefix,Department,,,,,,,,,,
11,Independent Study,Independent reading and/or research under the guidance of a faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. Prerequisite: as determined by instructor. May be repeated for credit.,488,3,AADM,THTR,,,,,,,,,,
12,External Reporting I,"This course examines the accounting principles used to maintain an organization's financial records and to prepare the current and fixed asset portion of the Balance Sheet for use by its external stakeholders. Topics include the conceptual framework underlying financial accounting, the time value of money, and preparation of the asset side of the Balance Sheet, including cash and receivables, valuation of inventories, property, plant and equipment, natural resources and intangible assets. Restricted to accounting degree completion majors.",330,3,ACCD,BUSN,,,,,,,,,,
13,External Reporting I,"This course examines the accounting principles used to maintain an organization's financial records and to prepare the current and fixed asset portion of the Balance Sheet for use by its external stakeholders. Topics include the conceptual framework underlying financial accounting, the time value of money, and preparation of the asset side of the Balance Sheet, including cash and receivables, valuation of inventories, property, plant and equipment, natural resources and intangible assets. Restricted to accounting degree completion majors.",330,3,ACCD,BUSN,,,,,,,,,,
14,External Reporting II,"This course is a continuation of accounting's external reporting principles. Topics include accounting for the liabilities and equities portion of the Balance Sheet, as well as the Income Statement accounts, including the recognition of revenues, expenses, and income taxes. Prerequisite: 330. Restricted to accounting degree completion majors.",340,3,ACCD,BUSN,,,,,,,,,,
15,Advanced Financial Topics,"This course examines additional advanced financial accounting principles. Topics include preparation of the Statement of Cash Flows, accounting for pensions and postretirement benefits, accounting for changes and errors, accounting in the international marketplace, partnership accounting, and fund and nonprofit accounting. Prerequisite: 330. Restricted to accounting degree completion majors.",445,3,ACCD,BUSN,,,,,,,,,,
16,Combinations and Consolidations,"This course examines the accounting principles related to business combinations and consolidations. Topics include consolidations at the date of acquisition, consolidations after the date of acquisition, accounting for differences between cost and book value, intercompany sales of inventory, property and equipment, changes in ownership interest, indirect ownership and reciprocal stockholdings, and reporting for segments. Prerequisite: 330. Restricted to accounting degree completion majors.",455,3,ACCD,BUSN,,,,,,,,,,
17,Financial Accounting,"A study of financial accounting at the basic systems level emphasizing generally accepted accounting principles. Topics include financial accounting terminology, recording of business financial transactions, and the accounting cycle and record-keeping requirements.",211,3,ACCT,BUSN,,,,,,,,,,
18,Managerial Accounting,"Interpretation and use of accounting data for planning and control by management personnel. Topics include the terminology of managerial accounting, strategic cost management, budgeting, variance analysis, and the use of accounting concepts with computer spreadsheets. Prerequisite: 211.",212,3,ACCT,BUSN,,,,,,,,,,
19,Special Topics,"Courses on topics of interest to business   students offered on the basis of need,  interest, or timeliness.  Prerequisites as determined by instructor. Restricted to students with freshman and sophomore standing. May be repeated for credit. See registrar's office current class schedules Web page for specific semester description.",286,3,ACCT,BUSN,,,,,,,,,,
20,Experiential Learning: Internship,"Non-classroom experiences in the field  of business. Placements are generally off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. A maximum of 15 credit of 287/487 can be used to meet graduation requirements. See the experiential learning: internship section of this catalog for details. Restricted to students with freshman or sophomore standing. May be repeated for credit. Graded CR/NC.",287,12,ACCT,BUSN,,,,,,,,,,
21,Independent Study,"Individual and independent reading, research, and writing under the guidance of a School of Business faculty member. Refer to the academic policy section for independent study policy. A written learning contract must be on file in the Office of the Registrar by the end of the first week of classes in the semester in which the course is taken. The contract must provide details of the topic, learning objectives, methods to be used, works to be completed, completion dates, grading criteria, and a prospective bibliography. The learner must get contract approval from the guiding faculty member, his or her academic advisor, and the dean of the School of Business before the contract is filed with the registrar. May be repeated for credit.",288,4,ACCT,BUSN,,,,,,,,,,
22,Intermediate Accounting I,"Generally Accepted Accounting Principles (GAAP) as applied to the income and financial position statements, inventory management, property, plant and equipment and intangible assets, and the time value of money. International Financial Reporting Standards (IFRS) will be integrated into this course.  Prerequisite: ACCT 211.",311,4,ACCT,BUSN,,,,,,,,,,
23,Intermediate Accounting II,"A continuation and expansion of topics covered in 311 including stockholder and owner equity, dilutive securities and earnings per share, investments, revenue recognition, income tax allocations, pensions, leases, and cash flow analysis.  International Financial Reporting Standards (IFRS) will be integrated into this course.  Prerequisite: 311.",312,4,ACCT,BUSN,,,,,,,,,,
24,Cost Accounting,"Interpretation and use of accounting data for planning, controlling and decision making by accountants. Topics include job order, process and activities-based costing, routine and non-routine decisions, policy decisions, long-range planning, standard cost systems, and quality improvement concepts. Prerequisite: 212.",313,3,ACCT,BUSN,,,,,,,,,,
25,Accounting Information Systems,"This course examines the nature of accounting information systems. It looks at the integration of accounting systems, inventory systems, sales analysis systems, and internal control in the financial operations of a business. Prerequisite: 311.",321,3,ACCT,BUSN,,,,,,,,,,
26,Accounting Information Systems,"This course examines the nature of accounting information systems. It looks at the integration of accounting systems, inventory systems, sales analysis systems, and internal control in the financial operations of a business. Prerequisite: 311.",321,3,ACCT,BUSN,,,,,,,,,,
27,Federal Taxation I,A study of federal income tax laws as applied to individuals. Prerequisite: 211.,415,3,ACCT,BUSN,,,,,,,,,,
28,Federal Taxation II,"A study of federal income tax laws as applied to partnerships, corporations, and fiduciaries. Prerequisite: 415 or ACCD 330.",416,3,ACCT,BUSN,,,,,,,,,,
29,Advanced Accounting I,"This course examines the accounting principles related to business combinations and consolidations. Topics include consolidations at the date of acquisition, consolidations after the date of acquisition, accounting for differences between cost and book value, intercompany sales of inventory, property and equipment, changes in ownership interest, indirect ownership and reciprocal stockholdings, and reporting for segments. International Financial Reporting Standards (IFRS) will be integrated into this course. Prerequisite: 211.",418,3,ACCT,BUSN,,,,,,,,,,
30,Advanced Accounting II,"A study of Generally Accepted Accounting Principles (GAAP) as applied to partnerships, international operations, and fiduciary accounting.  International Financial Reporting Standards (IFRS) will be integrated into this course.  Prerequisite: 211.",419,2,ACCT,BUSN,,,,,,,,,,
31,Nonprofit Accounting,A study of the generally accepted accounting principles applied to non-profit organizations. Prerequisite: 211.,420,1,ACCT,BUSN,,,,,,,,,,
32,Auditing,"Discussion of concepts, procedures, ethics, conflicts of interest, responsibilities, and liabilities of auditing, including working paper preparation. Prerequisite: 312 or ACCD 340. Restricted to students with senior standing.",425,3,ACCT,BUSN,,,,,,,,,,
33,Special Topics,"Courses on topics of interest to business   students offered on the basis of need, interest, or timeliness.  Prerequisites as determined by instructor. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,3,ACCT,BUSN,,,,,,,,,,
34,Experiential Learning: Internship,"Non-classroom experiences in the field  of business. Placements are generally off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. A maximum of 15 credits of 287/487 can be used to meet graduation requirements. See the experiential learning: internship section of this catalog for details. Restricted to students with junior standing or higher. May be repeated for credit. Graded CR/NC.",487,12,ACCT,BUSN,,,,,,,,,,
35,Independent Study,"Individual and independent reading, research, and writing under the guidance of a School of Business faculty member. Refer to the academic policy section for independent study policy. A written learning contract must be on file in the Office of the Registrar by the end of the first week of classes in the semester in which the course is taken. The contract must provide details of the topic, learning objectives, methods to be used, works to be completed, completion dates, grading criteria, and a prospective bibliography. The learner must get contract approval from the guiding faculty member, his or her academic advisor, and the dean of the School of Business before the contract is filed with the registrar. May be repeated for credit.",488,4,ACCT,BUSN,,,,,,,,,,
36,Analysis of Financial Performance Through Managerial Accounting,"This course will enable students to integrate managerial accounting information, along with financial statements analysis, to provide organizations with the information needed to plan, control, and effectively evaluate operational and financial performance.",510,3,ACCT,MBAD,,,,,,,,,,
37,Special Topics,"A course, on a special topic in the discipline at the post-baccalaureate or master degree level, offered on the basis of need, interest, or time lines. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",546,4,ACCT,MBAD,,,,,,,,,,
38,Fraud Examination,"Study of fraud prevention, detection, and investigation. Topics include the fraud triangle, procedures that can be implemented to prevent fraud, types of fraud committed against the organization, types of fraud committed on behalf of the organization, techniques for determining the presence of fraud, and methods for investigating fraud.",550,3,ACCT,MBAD,,,,,,,,,,
39,Independent Study,"This course provides independent reading and/or research, at the post-baccalaureate or master degree level, under the direction of a faculty member. Refer to the academic policy section for independent study policy. May be repeated for credit.",588,4,ACCT,MBAD,,,,,,,,,,
40,Special Topics,"Courses on topics of interest to students in a particular discipline offered on the basis of need, interest, or timeliness.  Prerequisites as determined by the instructor. Restricted to students with junior standing or higher. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,4,ADCT,PSYC,,,,,,,,,,
41,Research for Substance Abuse Professionals,"This course prepares students to critique and analyze research and prepare a literature review in the field of substance abuse. Prerequisite: 205, 305 or 427, 340. ",330,3,ADCT,PSYC,,,,,,,,,,
42,Alcohol and Drug Abuse Professional Issues,"Students in this course will develop a theoretical foundation and effective counseling skills for work in the specialized field of substance abuse disorders. Topics to be covered will include philosophies, practices, policies, and outcomes of the most generally accepted and scientifically supported models of treatment, recovery, relapse prevention, and continuing care for addiction and other substance-related problems. Prerequisites: 205, 270. (Equivalent to PSYC 423.)",423,3,ADCT,PSYC,,,,,,,,,,
43,Alcohol and Drug Abuse Professional Skills,"This course focuses on the application of assessment and treatment planning to the field of substance abuse. Topics include assessment instruments and procedures, psychosocial interviews, development of behavior treatment goals, record keeping, case management and ethical considerations. Prerequisite: PSYC 205. (Equivalent to PSYC 427.)",427,3,ADCT,PSYC,,,,,,,,,,
44,Contemporary Issues in Substance Abuse,The foundation of this course will focus on the importance of cultural competency and evidence based treatment for the professional substance abuse counselor. The application of evidence based practice for individuals presenting with co-occuring disorders will be emphasized. Prerequisite: 205.,440,3,ADCT,PSYC,,,,,,,,,,
45,Special Populations in Substance Abuse Counseling,"This course presents the use of the Multidimensional Contextual Practice foundation that will prepare students to address substance abuse counseling issues with three populations: adolescents, women, and older adults. Prerequisite: PSYC-205.",445,3,ADCT,PSYC,,,,,,,,,,
46,Special Populations in Substance Abuse Counseling,,445,3,ADCT,PSYC,,,,,,,,,,
47,Essential Counseling Theories for Substance Abuse Professionals,,464,3,ADCT,PSYC,,,,,,,,,,
48,Essential Counseling Theories for Substance Abuse Professionals,"This course will explore all major pyschotherapy major theories essential for the substance abuse counselor. Special emphasis will be placed on Cognitive Behavioral, Motivational Interviewing, and Relapse Prevention models, as well as the use of group dynamics to address client change. Humanistic and cognitive behavioral theories will provide the foundation for this course. Prerequisite: 205, 270 or SOWK 280. (Equivalent to PSYC-464.)",464,3,ADCT,PSYC,,,,,,,,,,
49,Addiction Studies Practicum,,481,4,ADCT,PSYC,,,,,,,,,,
50,Addiction Studies Practicum,"Non-classroom experiences in the field of addiction studies plus one hour of class per week. Placements will be in agencies providing psychological services relevant to addiction studies, and a mental health professional will be on-site to provide supervision. Students will participate in individual and/or group helping relationships. Experience hours may satisfy some of the patient counseling experience hours required for Wisconsin state Substance Abuse Counselor certification. Credit for experiences must be sought prior to occurrence, and learning contracts must be submitted before the end of the first week of the semester. Prerequisite: 340. Restricted to students with junior standing or higher. May be repeated for credit. ",481,4,ADCT,PSYC,,,,,,,,,,
51,Special Topics,"Courses on topics of interest to students in a particular discipline offered on the basis of need, interest, or timeliness.  Prerequisites as determined by the instructor. Restricted to students with junior standing or higher. May be repeated for credit. See registrar's office current class schedules Web page for specific semester description.",486,4,ADCT,PSYC,,,,,,,,,,
52,Independent Study,Independent reading and/or research under the supervision of a psychology faculty member. Refer to the academic policy section for independent study policy. An independent study contract is required. May be repeated for credit.,488,3,ADCT,PSYC,,,,,,,,,,
53,Advanced Research and Practice,Students will implement the research they developed in their research methods course or complete a faculty-supervised internship (with approval.) This will include a one-hour meeting of all students each week with the faculty directing the course. Prerequisite: PSYC 330. Restricted to students with junior standing or higher. May be repeated for credit. (Equivalent to PSYC 489.),489,4,ADCT,PSYC,,,,,,,,,,
54,Praxis Synthesis in Addiction Studies,"Students will integrate their course work and their experiences into a culminating research project in addiction studies prior to graduation. This project will be presented in written form, and shared with peers and faculty members in the program. Restricted to students in the two-year transfer program.",498,3,ADCT,PSYC,,,,,,,,,,
55,Art in Early Childhood,A study of the child146s development in art from infancy to kindergarten. Focus on appreciation of the value and function of art. Assessment of children146s development in production of art. Students will learn to create a developmentally appropriate curriculum in art for children ages 0-kindergarten. Field Experience required. Prerequisite: junior standing.,300,2,ARED,ARTS,,,,,,,,,,
56,Studio Based Introduction to Art,"An introduction to art including lectures and discussions, but focused on two- and three-dimensional studio work. Intended for students interested in an experiential approach to learning about art. AE",103,3,ARTS,ARTS,,,,,,,,,,
57,Introduction to Art,An introduction to art including lectures and discussions. AE,105,3,ARTS,ARTS,,,,,,,,,,
58,Perspectives in Drawing,"Exploration of perspectives and approaches to the drawing process. This course is intended for non-art majors and non-art minors, and emphasizes observation and description. This course may not be used towards the requirements for an art major or minor. Offered every fall.",107,3,ARTS,ARTS,,,,,,,,,,
59,Film Appreciation,"An introduction to film including lectures, discussions, and viewings. AE",108,3,ARTS,ARTS,,,,,,,,,,
60,Foundations: Drawing I,"Introduction to drawing, with the primary  emphasis on perception and description. AE",111,3,ARTS,ARTS,,,,,,,,,,
61,Foundations: Design I,An introduction to two- and three-dimensional design. AE,112,3,ARTS,ARTS,,,,,,,,,,
62,Foundations: Drawing II,"A continuation of Foundations: Drawing I. Emphasis will also be placed on personal artistic goals and development. Prerequisites: 111, 112. AE ",121,3,ARTS,ARTS,,,,,,,,,,
63,Foundations: Design II,"This course is a continuation of Foundations: Design I. Emphasis will also be placed on personal artistic goals and development. Prerequisites: 111, 112. AE",122,3,ARTS,ARTS,,,,,,,,,,
64,Foundations: Art History,"Chronological survey of art from prehistoric times to the present, focusing on major monuments of world art. AE",160,3,ARTS,ARTS,,,,,,,,,,
65,Women in Art,"This course surveys the historical and contemporary roles of women in the visual arts, both as producers of art and as the subject of art. Emphasis is on Western art; some non-Western art included. AE",200,3,ARTS,ARTS,,,,,,,,,,
66,Ceramics,"This course will concentrate on the vessel and sculptural forms, wheel throwing, handbuilding, and production pottery techniques. Surface decoration, glazing, kiln firing, and a historical perspective of the vessel will also be introduced. AE",203,3,ARTS,ARTS,,,,,,,,,,
67,Concepts of Art Education,"An introduction to developmental and philosophical theories in art. A studio component of the course is intended to provide experience in using materials for meaningful expression and planning for a community-based experiential component of the class. This course is required for Bachelor of Art Education students, and it may also be of interest to others seeking a general introduction to theories of artistic development and philosophy of art.",206,5,ARTS,ARTS,,,,,,,,,,
68,Printmaking,An introduction to the printmaking processes  with emphasis on intaglio and relief  processes. AE,207,3,ARTS,ARTS,,,,,,,,,,
69,Painting,An introduction to painting processes with emphases on acrylic and oil paint. AE,216,3,ARTS,ARTS,,,,,,,,,,
70,Elements of Digital Media,"This course builds on the skills learned in 118. It is a more in-depth study of production and design issues. The course content will build student skills as a video editor, 3D modeler, and web designer. Technical issues such as file formats, storage, and output to various media will be addressed. Prerequiste: 118",218,3,ARTS,ARTS,,,,,,,,,,
71,Photography,"Photography as an art form: basic techniques of black and white photography. Emphasis on developing critical abilities. Students will need to have camera with light meter and controllable focus, aperture, and shutter. Because of the need to provide film, paper and developing chemicals, students should be aware that this is an expensive course.",228,3,ARTS,ARTS,,,,,,,,,,
72,Intermediate Design,"Students in this studio art course experiment with a range of traditional and digital means to create print media, websites, short films, and other projects. Unit workshops will introduce fundamental skills and techniques. AE",239,3,ARTS,ARTS,,,,,,,,,,
73,Intermediate Design,"Students in this studio art course experiment with a range of traditional and digital means to create print media, websites, short films, and other projects. Unit workshops will introduce fundamental skills and techniques. Prerequisites: 121, 122. May be repeated for credit.",239,3,ARTS,ARTS,,,,,,,,,,
74,Special Topics,"Courses on topics of interest to art students offered on the basis of need, interest, or timeliness. Prerequisites as determined by the instructor. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,3,ARTS,ARTS,,,,,,,,,,
75,Experiential Learning: Internship,"Advanced non-classroom experiences in the field  of art. Placements are off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. See the experiential learning: internship section of this catalog for more details. Restricted to students with freshman or sophomore standing. Graded CR/NC.",287,12,ARTS,ARTS,,,,,,,,,,
76,Independent Study,"Independent reading, research, and studio work under the guidance of an art faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. May be repeated for credit.",288,3,ARTS,ARTS,,,,,,,,,,
77,Figure Drawing,"Figure drawing and figure composition. Work from the live model, from studies, and from art historical precedents. May be repeated for credit.",300,3,ARTS,ARTS,,,,,,,,,,
78,Advanced Ceramics,Further exploration of ceramics processes and techniques. Prerequisite: 203. May be repeated for credit.,305,3,ARTS,ARTS,,,,,,,,,,
79,Drawing III,"A continuation of ARTS 111 and 112. Explores in  further detail composition, the representation of  form and space, and the role of expression in  drawing and design. Prerequisites: 111, 112, 121,  122.",308,3,ARTS,ARTS,,,,,,,,,,
80,Advanced Painting,"A continuation of ARTS-216, with further exploration of painting processes with an emphasis on oil painting. Prerequisite: 216. May be repeated for credit.",316,3,ARTS,ARTS,,,,,,,,,,
81,Advanced Printmaking,Further exploration of printmaking processes with emphases on intaglio and relief processes. Prerequisite: 207. May be repeated for credit.,317,3,ARTS,ARTS,,,,,,,,,,
82,Sculpture,Exploration of sculptural processes and approaches. May be repeated for credit.,320,3,ARTS,ARTS,,,,,,,,,,
83,Advanced Photography,"This course focuses on advanced printing techniques, camera functions and lighting. Students will have an opportunity to try different types of films, printing papers and camera filters. Prequisite 228. May be repeated for credit.  ",328,3,ARTS,ARTS,,,,,,,,,,
84,Advanced Design,This course is a continuation of the intermediate level course of design. Prerequisite: 239. May be repeated for credit.,339,3,ARTS,ARTS,,,,,,,,,,
85,Art History: Early Modernism,"A history of Modern Art from the late 19th century until the 1930s or 1940s. The course will also include study of the antecedents of Modernism in early Western art, and also seek to explore connections with non-Western art where feasible. Prerequisites: 160, ENGL 104 or 105 or 195. WCII, OC",350,3,ARTS,ARTS,,,,,,,,,,
86,Art History: Late Modernism,"A history of Modern Art from the 1930s or 1940s to the present. The course will also include study of the antecedents in Modernism in early Western art, and also seek to explore connections with non-Western art where feasible. Prerequisites: 160, ENGL 104 or 105 or 195. WCII, OC",351,3,ARTS,ARTS,,,,,,,,,,
87,Art in the Elementary/Middle School,"Overview of the history and philosophy of art; basic principles and methods of teaching art in the kindergarten, elementary, and middle school; understanding and evaluating children's growth in art; lesson planning, classroom techniques, and practical laboratory techniques.",360,3,ARTS,ARTS,,,,,,,,,,
88,Methods in Art Education,Course is directed toward the practice of teaching children art and participating meaningfully in children's interpretative practices. Art education students design and implement developmentally appropriate weekly lesson plans as they teach in the Viterbo After School Art Program which offers eight-week art classes for students ages 5-12. Studio component: development of art educational objectives through laboratory experiences. Prerequisite: ARTS 206. Restricted to art education majors.  ,361,3,ARTS,ARTS,,,,,,,,,,
89,Advanced Methods in Art Education,"Introduction to the concept of the artist/ teacher. Art education curriculum, unit and lesson planning, evaluation, motivation, instructional materials, and observational techniques for the middle through secondary art classroom. A studio component of this course is meant to provide students with experience in using materials for meaningful expression and planning for the studio-based experiential teaching component of the class. Prerequisite: ARTS 206. Restricted to art education majors. ",362,3,ARTS,ARTS,,,,,,,,,,
90,Independent Project,"The planning, development, and evaluation of an entire project. Work with a faculty member to develop a stand alone instructional module and act as producer as well as developer. Permission of instructor required.",420,3,ARTS,ARTS,,,,,,,,,,
91,Student Teaching Elementary/ Middle (k-9),"Observation and supervised teaching at kindergarten, elementary and middle levels. Prerequisites: admission to the teacher education program; admission to student teaching; passing Praxis II score.",463,4.5,ARTS,ARTS,,,,,,,,,,
92,Student Teaching: Secondary (9-12),Observation and supervised teaching at the secondary level. Prerequisites: admission to the teacher education program; admission to student teaching; passing Praxis II score.,464,4.5,ARTS,ARTS,,,,,,,,,,
93,Special Topics,"Courses on topics of interest to art students offered on the basis of need, interest, or timeliness. Prerequisites as determined by the instructor. Restricted to students with junior standing or higher. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",486,3,ARTS,ARTS,,,,,,,,,,
94,Experiential Learning: Internship,"Advanced non-classroom experiences in the field  of art. Placements are off-campus, and may be full- or part-time, and with or without pay. Credit for experiences must be sought prior to occurance, and learning contracts must be submitted before the end of the first week of the semester. See the experiential learning: internship section of this catalog for more details. Restricted to students with junior standing or higher. Graded CR/NC.",487,12,ARTS,ARTS,,,,,,,,,,
95,Independent Study,"Independent reading, research, and studio work under the guidance of an art faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. May be repeated for credit.",488,3,ARTS,ARTS,,,,,,,,,,
96,Advanced Studio Problems,Individual work in any studio area beyond listed courses. Students will be provided with work space in the department and will meet with a selected instructor for regular appointments to discuss work in progress. May be repeated for credit.,489,5,ARTS,ARTS,,,,,,,,,,
97,Research Paper,Advanced research paper for BFA students. To be completed during the senior year.,490,1,ARTS,ARTS,,,,,,,,,,
98,Perspectives in Biology,"Five hours lecture/lab each week  Exploration of broad themes in the natural sciences through a biological perspective. This course is intended for elementary education majors and emphasizes how the concepts introduced in the course can be incorporated into the classroom. Major concepts addressed include ecosystems, evolution, characterization of life and life forms, overview of human systems, cell biology, and the scientific process. This course will not be applied to a biology major or minor. Offered every spring. NS",100,4,BIOL,BIOL,,,,,,,,,,
99,Anatomy and Physiology I,"Five lecture/lab hours per week.  Detailed consideration of the anatomy and physiology of the human body; the cell as the basic unit of structure and function; the integumentary, skeletal, muscular, and nervous systems. Offered every fall and spring. Restricted to nursing and dietetics students only.",104,4,BIOL,BIOL,,,,,,,,,,
100,Science Success,"Designed for new students intending a course of study in biology, chemistry, biochemistry, biopsychology, environmental biology, sports science and leadership, and/or one of the health science pre-professional programs such as pre-medicine, pre-dentistry, or pre-pharmacy. The emphasis will be on development of effective learning skills based on learning preferences.  Topics include reading for learning; working with study teams; managing time; managing stress; coping with pressure and even failure; setting goals; exploring university resources including research and internship opportunities; and talking with upper class students about adjusting and career choices. Restricted to and required of every freshman biology, biochemistry, biopsychology, chemistry, environmental biology, and sports leadership and science major. Graded CR/NC. (Equivalent to CHEM 112.)",112,1,BIOL,BIOL,,,,,,,,,,
101,Anatomy and Physiology II,"Five hours lecture/lab/discussion per week. Continuation of Biology 104. Includes the endocrine, respiratory, digestive, urinary, circulatory, and reproductive systems. Offered every spring and summer. Prerequisite: Grade of C or higher in 104.For nursing and dietetics majors only.",114,4,BIOL,BIOL,,,,,,,,,,
102,General Biology I,"Three hours lecture and discussion/one three-hour lab per week.  An introduction to biological science. Includes an overview of macromolecules, cell biology, energetics, and an evolutionary survey of vertebrates with a focus on mammalian body systems. This is an introductory course for science majors. NS",160,4,BIOL,BIOL,,,,,,,,,,
103,General Biology II,"Three hours lecture/discussion and one three-hour laboratory per week. An introduction to biological sciences. Covers ecological concepts, genetics, energetics, characterization of life and life forms with a focus on evolutionary adaptations of organisms to their environments. Includes an ecological and evolutionary survey of all biological kingdoms. This is an introductory course for science majors. NS",161,4,BIOL,BIOL,,,,,,,,,,
104,Introduction to Biotechnology,"3 hours lecture/three hours of lab per week. Students will be introduced to biotechnology, including the ethical, human, and economic impacts of these technologies. This course will cover basic concepts of genetic engineering and biotechnology, ethical concerns of new genetic technologies and public concerns. Topics to be discussed include: bioremediation, safety of genetically engineered food products, transgenic plants and animals, cloning, gene therapy, and genetic screening. The lab introduces students to basic procedures used in biotechnology.",201,4,BIOL,BIOL,,,,,,,,,,
105,Human Biology for Social Sciences,"Three hours of lecture/two hours lab per week.  Basic principles of living systems with particular emphasis on the biological factors affecting human behavior. In addition to basic concepts of human biology, special topics will include immunizations, sexually transmitted diseases, hereditary conditions and diseases, and the biology of aging and development. This course is specifically for students in social sciences. Offered every spring. Prerequisites: one year of high school biology and one year high school chemistry highly recommended. NS",203,4,BIOL,BIOL,,,,,,,,,,
106,Medical Program Entrance Exam Review,"This course will assist students in preparation for entrance exams for graduate medical programs such as the MCAT, DAT, OAT or PCAT. An overview of the test process will be presented, as well as review of major areas on the exam. Graded CR/NC. May be repeated for credit.",206,2,BIOL,BIOL,,,,,,,,,,
107,Careers in the Sciences,"1 hour lecture per week. Introduction to diverse careers in the sciences, including healthcare professions. This includes learning about graduate school, pre-professional programs (like medical school), and area businesses/organizations that hire scientists. Students will participate in job shadowing experiences, spend time learning about application processes (of all types), and determine what they need to do to get where they want to go. Restricted to students with sophomore or junior standing. Equal to CHEM-212.",212,1,BIOL,BIOL,,,,,,,,,,
108,Experiences in Field Biology,"An opportunity for students to be exposed to major ecosystems in North or Central America. There will be on-campus seminars to support this experience discussing the uniqueness of the general ecology and culture of the area. May be repeated for credit with permission of instructor. Prerequisite: eight credits of BIOL, CHEM, ENVS, ESCI or PHYS; permission of instructor.",232,4,BIOL,BIOL,,,,,,,,,,
